Area,Area Id,Variable Name,Variable Id,Year,Value
Argentina,9,Conservation agriculture area,4454,1982,2
Argentina,9,Conservation agriculture area as % of arable land area,4455,1982,0.0074
Brazil,21,Conservation agriculture area,4454,1982,232.5
Brazil,21,Conservation agriculture area as % of arable land area,4455,1982,0.4947
China,351,Total cultivated area drained,4300,1982,18093
China,351,% of total cultivated area drained,4305,1982,17.09
Myanmar,28,Total cultivated area drained,4300,1980,182
Myanmar,28,% of total cultivated area drained,4305,1980,1.806
Saudi Arabia,194,Area waterlogged by irrigation,4401,1980,15
Argentina,9,Conservation agriculture area,4454,1987,6
Argentina,9,Conservation agriculture area as % of arable land area,4455,1987,0.0224
Australia,10,Conservation agriculture area,4454,1984,400
Australia,10,Conservation agriculture area as % of arable land area,4455,1984,0.8521
Brazil,21,Conservation agriculture area,4454,1987,650
Brazil,21,Conservation agriculture area as % of arable land area,4455,1987,1.313
Cabo Verde,35,Area waterlogged by irrigation,4401,1985,0
China,351,Total cultivated area drained,4300,1983,18867
China,351,% of total cultivated area drained,4305,1983,14.73
Egypt,59,Area salinized by irrigation,4400,1987,900
France,68,Conservation agriculture area,4454,1984,50
France,68,Conservation agriculture area as % of arable land area,4455,1984,0.2752
Indonesia,101,Area waterlogged by irrigation,4401,1987,2150
Israel,105,Area equipped for irrigation drained,4303,1987,100
Israel,105,Non-irrigated cultivated area drained,4304,1987,0
Israel,105,Total cultivated area drained,4300,1987,100
Israel,105,% of total cultivated area drained,4305,1987,23.36
Netherlands,150,Conservation agriculture area,4454,1984,5
Netherlands,150,Conservation agriculture area as % of arable land area,4455,1984,0.5807
New Zealand,156,Conservation agriculture area,4454,1984,75
New Zealand,156,Conservation agriculture area as % of arable land area,4455,1984,2.867
South Africa,202,Area salinized by irrigation,4400,1987,100
Syrian Arab Republic,212,Area equipped for irrigation drained,4303,1985,273
Syrian Arab Republic,212,Non-irrigated cultivated area drained,4304,1985,0
Syrian Arab Republic,212,Total cultivated area drained,4300,1985,273
Syrian Arab Republic,212,% of total cultivated area drained,4305,1985,4.849
United Kingdom,229,Conservation agriculture area,4454,1984,275
United Kingdom,229,Conservation agriculture area as % of arable land area,4455,1984,3.965
United States of America,231,Conservation agriculture area,4454,1984,4800
United States of America,231,Conservation agriculture area as % of arable land area,4455,1984,2.584
United States of America,231,Area salinized by irrigation,4400,1987,4200
Afghanistan,2,Rural population with access to safe drinking-water (JMP),4115,1992,16.2
Afghanistan,2,Urban population with access to safe drinking-water (JMP),4116,1992,43
Albania,3,Total cultivated area drained,4300,1990,276.1
