Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Surface water produced internally,4155,1982,37.5
Afghanistan,2,Groundwater produced internally,4154,1982,10.65
Afghanistan,2,Overlap between surface water and groundwater,4156,1982,1
Afghanistan,2,Total internal renewable water resources (IRWR),4157,1982,47.15
Afghanistan,2,Total internal renewable water resources per capita,4158,1982,3698
Afghanistan,2,Surface water: entering the country (total),4159,1982,10
Afghanistan,2,Surface water: inflow not submitted to treaties,4160,1982,10
Afghanistan,2,Surface water: inflow submitted to treaties,4161,1982,0
Albania,3,Surface water produced internally,4155,1982,23.05
Albania,3,Groundwater produced internally,4154,1982,6.2
Albania,3,Overlap between surface water and groundwater,4156,1982,2.35
Albania,3,Total internal renewable water resources (IRWR),4157,1982,26.9
Albania,3,Total internal renewable water resources per capita,4158,1982,9648
Albania,3,Surface water: entering the country (total),4159,1982,3.3
Albania,3,Surface water: inflow not submitted to treaties,4160,1982,3.3
Albania,3,Surface water: inflow submitted to treaties,4161,1982,0
Algeria,4,Surface water produced internally,4155,1982,9.76
Algeria,4,Groundwater produced internally,4154,1982,1.487
Algeria,4,Overlap between surface water and groundwater,4156,1982,0
Algeria,4,Total internal renewable water resources (IRWR),4157,1982,11.25
Algeria,4,Total internal renewable water resources per capita,4158,1982,546.8
Algeria,4,Surface water: entering the country (total),4159,1982,0.39
Algeria,4,Surface water: inflow not submitted to treaties,4160,1982,0.39
Algeria,4,Surface water: inflow submitted to treaties,4161,1982,0
Andorra,6,Total internal renewable water resources (IRWR),4157,1982,0.3156
Andorra,6,Total internal renewable water resources per capita,4158,1982,8070
Angola,7,Surface water produced internally,4155,1982,145
Angola,7,Groundwater produced internally,4154,1982,58
Angola,7,Overlap between surface water and groundwater,4156,1982,55
Angola,7,Total internal renewable water resources (IRWR),4157,1982,148
Angola,7,Total internal renewable water resources per capita,4158,1982,15446
Angola,7,Surface water: entering the country (total),4159,1982,0.4
Angola,7,Surface water: inflow not submitted to treaties,4160,1982,0.4
Angola,7,Surface water: inflow submitted to treaties,4161,1982,0
Antigua and Barbuda,8,Total internal renewable water resources (IRWR),4157,1982,0.052
Antigua and Barbuda,8,Total internal renewable water resources per capita,4158,1982,717.7
Antigua and Barbuda,8,Surface water: entering the country (total),4159,1982,0
Antigua and Barbuda,8,Surface water: inflow not submitted to treaties,4160,1982,0
Antigua and Barbuda,8,Surface water: inflow submitted to treaties,4161,1982,0
Argentina,9,Surface water produced internally,4155,1982,276
Argentina,9,Groundwater produced internally,4154,1982,128
Argentina,9,Overlap between surface water and groundwater,4156,1982,112
Argentina,9,Total internal renewable water resources (IRWR),4157,1982,292
Argentina,9,Total internal renewable water resources per capita,4158,1982,10071
Argentina,9,Surface water: entering the country (total),4159,1982,516.3
Argentina,9,Surface water: inflow not submitted to treaties,4160,1982,516.3
Argentina,9,Surface water: inflow submitted to treaties,4161,1982,0
Australia,10,Surface water produced internally,4155,1982,440
Australia,10,Groundwater produced internally,4154,1982,72
Australia,10,Overlap between surface water and groundwater,4156,1982,20
Australia,10,Total internal renewable water resources (IRWR),4157,1982,492
Australia,10,Total internal renewable water resources per capita,4158,1982,32711
Australia,10,Surface water: entering the country (total),4159,1982,0
Australia,10,Surface water: inflow not submitted to treaties,4160,1982,0
Australia,10,Surface water: inflow submitted to treaties,4161,1982,0
Austria,11,Surface water produced internally,4155,1982,55
Austria,11,Groundwater produced internally,4154,1982,6
Austria,11,Overlap between surface water and groundwater,4156,1982,6
Austria,11,Total internal renewable water resources (IRWR),4157,1982,55
Austria,11,Total internal renewable water resources per capita,4158,1982,7235
Austria,11,Surface water: entering the country (total),4159,1982,22.7
Austria,11,Surface water: inflow not submitted to treaties,4160,1982,22.7
Austria,11,Surface water: inflow submitted to treaties,4161,1982,0
Bahamas,12,Total internal renewable water resources (IRWR),4157,1982,0.7
Bahamas,12,Total internal renewable water resources per capita,4158,1982,3177
Bahamas,12,Surface water: entering the country (total),4159,1982,0
Bahamas,12,Surface water: inflow not submitted to treaties,4160,1982,0
Bahamas,12,Surface water: inflow submitted to treaties,4161,1982,0
Bahrain,13,Surface water produced internally,4155,1982,0.004
Bahrain,13,Groundwater produced internally,4154,1982,0
Bahrain,13,Overlap between surface water and groundwater,4156,1982,0
Bahrain,13,Total internal renewable water resources (IRWR),4157,1982,0.004
Bahrain,13,Total internal renewable water resources per capita,4158,1982,10.36
Bahrain,13,Surface water: entering the country (total),4159,1982,0
Bahrain,13,Surface water: inflow not submitted to treaties,4160,1982,0
Bahrain,13,Surface water: inflow submitted to treaties,4161,1982,0
Bangladesh,16,Surface water produced internally,4155,1982,83.91
Bangladesh,16,Groundwater produced internally,4154,1982,21.09
Bangladesh,16,Overlap between surface water and groundwater,4156,1982,0
Bangladesh,16,Total internal renewable water resources (IRWR),4157,1982,105
Bangladesh,16,Total internal renewable water resources per capita,4158,1982,1221
Bangladesh,16,Surface water: entering the country (total),4159,1982,1122
Bangladesh,16,Surface water: inflow not submitted to treaties,4160,1982,1122
Bangladesh,16,Surface water: inflow submitted to treaties,4161,1982,0
Barbados,14,Surface water produced internally,4155,1982,0.008
Barbados,14,Groundwater produced internally,4154,1982,0.074
Barbados,14,Overlap between surface water and groundwater,4156,1982,0.002
Barbados,14,Total internal renewable water resources (IRWR),4157,1982,0.08
Barbados,14,Total internal renewable water resources per capita,4158,1982,315.2
Barbados,14,Surface water: entering the country (total),4159,1982,0
Barbados,14,Surface water: inflow not submitted to treaties,4160,1982,0
Barbados,14,Surface water: inflow submitted to treaties,4161,1982,0
Belgium,255,Surface water produced internally,4155,1982,12
Belgium,255,Groundwater produced internally,4154,1982,0.9
Belgium,255,Overlap between surface water and groundwater,4156,1982,0.9
Belgium,255,Total internal renewable water resources (IRWR),4157,1982,12
Belgium,255,Total internal renewable water resources per capita,4158,1982,1222
Belgium,255,Surface water: entering the country (total),4159,1982,6.3
Belgium,255,Surface water: inflow not submitted to treaties,4160,1982,6.3
Belgium,255,Surface water: inflow submitted to treaties,4161,1982,0
Belize,23,Surface water produced internally,4155,1982,15.26
Belize,23,Groundwater produced internally,4154,1982,7.51
Belize,23,Overlap between surface water and groundwater,4156,1982,7.51
Belize,23,Total internal renewable water resources (IRWR),4157,1982,15.26
Belize,23,Total internal renewable water resources per capita,4158,1982,100726
Belize,23,Surface water: entering the country (total),4159,1982,6.042
Belize,23,Surface water: inflow not submitted to treaties,4160,1982,6.042
Belize,23,Surface water: inflow submitted to treaties,4161,1982,0
Benin,53,Surface water produced internally,4155,1982,10
Benin,53,Groundwater produced internally,4154,1982,1.8
Benin,53,Overlap between surface water and groundwater,4156,1982,1.5
Benin,53,Total internal renewable water resources (IRWR),4157,1982,10.3
Benin,53,Total internal renewable water resources per capita,4158,1982,2622
Benin,53,Surface water: entering the country (total),4159,1982,0
Benin,53,Surface water: inflow not submitted to treaties,4160,1982,0
Benin,53,Surface water: inflow submitted to treaties,4161,1982,0
Bhutan,18,Surface water produced internally,4155,1982,95
Bhutan,18,Groundwater produced internally,4154,1982,9.5
Bhutan,18,Overlap between surface water and groundwater,4156,1982,9.5
Bhutan,18,Total internal renewable water resources (IRWR),4157,1982,95
Bhutan,18,Total internal renewable water resources per capita,4158,1982,220418
Bhutan,18,Surface water: entering the country (total),4159,1982,0
Bhutan,18,Surface water: inflow not submitted to treaties,4160,1982,0
Bhutan,18,Surface water: inflow submitted to treaties,4161,1982,0
Bolivia (Plurinational State of),19,Surface water produced internally,4155,1982,277.4
Bolivia (Plurinational State of),19,Groundwater produced internally,4154,1982,130
Bolivia (Plurinational State of),19,Overlap between surface water and groundwater,4156,1982,103.9
Bolivia (Plurinational State of),19,Total internal renewable water resources (IRWR),4157,1982,303.5
Bolivia (Plurinational State of),19,Total internal renewable water resources per capita,4158,1982,52014
Bolivia (Plurinational State of),19,Surface water: entering the country (total),4159,1982,259
Bolivia (Plurinational State of),19,Surface water: inflow not submitted to treaties,4160,1982,259
Bolivia (Plurinational State of),19,Surface water: inflow submitted to treaties,4161,1982,0
Botswana,20,Surface water produced internally,4155,1982,0.8
Botswana,20,Groundwater produced internally,4154,1982,1.7
Botswana,20,Overlap between surface water and groundwater,4156,1982,0.1
Botswana,20,Total internal renewable water resources (IRWR),4157,1982,2.4
Botswana,20,Total internal renewable water resources per capita,4158,1982,2230
Botswana,20,Surface water: entering the country (total),4159,1982,9.04
Botswana,20,Surface water: inflow not submitted to treaties,4160,1982,9.04
Botswana,20,Surface water: inflow submitted to treaties,4161,1982,0
Brazil,21,Surface water produced internally,4155,1982,5661
Brazil,21,Groundwater produced internally,4154,1982,645.6
Brazil,21,Overlap between surface water and groundwater,4156,1982,645.6
Brazil,21,Total internal renewable water resources (IRWR),4157,1982,5661
Brazil,21,Total internal renewable water resources per capita,4158,1982,44593
Brazil,21,Surface water: entering the country (total),4159,1982,2986
Brazil,21,Surface water: inflow not submitted to treaties,4160,1982,2986
Brazil,21,Surface water: inflow submitted to treaties,4161,1982,0
Brunei Darussalam,26,Surface water produced internally,4155,1982,8.5
Brunei Darussalam,26,Groundwater produced internally,4154,1982,0.1
Brunei Darussalam,26,Overlap between surface water and groundwater,4156,1982,0.1
Brunei Darussalam,26,Total internal renewable water resources (IRWR),4157,1982,8.5
Brunei Darussalam,26,Total internal renewable water resources per capita,4158,1982,41242
Brunei Darussalam,26,Surface water: entering the country (total),4159,1982,0
Brunei Darussalam,26,Surface water: inflow not submitted to treaties,4160,1982,0
Brunei Darussalam,26,Surface water: inflow submitted to treaties,4161,1982,0
Bulgaria,27,Surface water produced internally,4155,1982,20.1
Bulgaria,27,Groundwater produced internally,4154,1982,6.4
Bulgaria,27,Overlap between surface water and groundwater,4156,1982,5.5
Bulgaria,27,Total internal renewable water resources (IRWR),4157,1982,21
Bulgaria,27,Total internal renewable water resources per capita,4158,1982,2351
Bulgaria,27,Surface water: entering the country (total),4159,1982,0.3
Bulgaria,27,Surface water: inflow not submitted to treaties,4160,1982,0.3
Bulgaria,27,Surface water: inflow submitted to treaties,4161,1982,0
Burkina Faso,233,Surface water produced internally,4155,1982,8
Burkina Faso,233,Groundwater produced internally,4154,1982,9.5
Burkina Faso,233,Overlap between surface water and groundwater,4156,1982,5
Burkina Faso,233,Total internal renewable water resources (IRWR),4157,1982,12.5
Burkina Faso,233,Total internal renewable water resources per capita,4158,1982,1746
Burkina Faso,233,Surface water: entering the country (total),4159,1982,1
Burkina Faso,233,Surface water: inflow not submitted to treaties,4160,1982,1
Burkina Faso,233,Surface water: inflow submitted to treaties,4161,1982,0
Burundi,29,Surface water produced internally,4155,1982,10.06
Burundi,29,Groundwater produced internally,4154,1982,7.47
Burundi,29,Overlap between surface water and groundwater,4156,1982,7.47
Burundi,29,Total internal renewable water resources (IRWR),4157,1982,10.06
Burundi,29,Total internal renewable water resources per capita,4158,1982,2322
Burundi,29,Surface water: entering the country (total),4159,1982,0.126
Burundi,29,Surface water: inflow not submitted to treaties,4160,1982,0.126
Burundi,29,Surface water: inflow submitted to treaties,4161,1982,0
Cabo Verde,35,Surface water produced internally,4155,1982,0.181
Cabo Verde,35,Groundwater produced internally,4154,1982,0.124
Cabo Verde,35,Overlap between surface water and groundwater,4156,1982,0.005
Cabo Verde,35,Total internal renewable water resources (IRWR),4157,1982,0.3
Cabo Verde,35,Total internal renewable water resources per capita,4158,1982,1009
Cabo Verde,35,Surface water: entering the country (total),4159,1982,0
Cabo Verde,35,Surface water: inflow not submitted to treaties,4160,1982,0
Cabo Verde,35,Surface water: inflow submitted to treaties,4161,1982,0
Cambodia,115,Surface water produced internally,4155,1982,116
Cambodia,115,Groundwater produced internally,4154,1982,17.6
Cambodia,115,Overlap between surface water and groundwater,4156,1982,13
Cambodia,115,Total internal renewable water resources (IRWR),4157,1982,120.6
Cambodia,115,Total internal renewable water resources per capita,4158,1982,17433
Cambodia,115,Surface water: entering the country (total),4159,1982,355.5
Cambodia,115,Surface water: inflow not submitted to treaties,4160,1982,355.5
Cambodia,115,Surface water: inflow submitted to treaties,4161,1982,0
Cameroon,32,Surface water produced internally,4155,1982,268
Cameroon,32,Groundwater produced internally,4154,1982,100
Cameroon,32,Overlap between surface water and groundwater,4156,1982,95
Cameroon,32,Total internal renewable water resources (IRWR),4157,1982,273
Cameroon,32,Total internal renewable water resources per capita,4158,1982,29807
Cameroon,32,Surface water: entering the country (total),4159,1982,4
Cameroon,32,Surface water: inflow not submitted to treaties,4160,1982,4
Cameroon,32,Surface water: inflow submitted to treaties,4161,1982,0
Canada,33,Surface water produced internally,4155,1982,2840
Canada,33,Groundwater produced internally,4154,1982,370
Canada,33,Overlap between surface water and groundwater,4156,1982,360
Canada,33,Total internal renewable water resources (IRWR),4157,1982,2850
Canada,33,Total internal renewable water resources per capita,4158,1982,113813
Canada,33,Surface water: entering the country (total),4159,1982,52
Canada,33,Surface water: inflow not submitted to treaties,4160,1982,52
Canada,33,Surface water: inflow submitted to treaties,4161,1982,0
Central African Republic,37,Surface water produced internally,4155,1982,141
Central African Republic,37,Groundwater produced internally,4154,1982,56
Central African Republic,37,Overlap between surface water and groundwater,4156,1982,56
Central African Republic,37,Total internal renewable water resources (IRWR),4157,1982,141
Central African Republic,37,Total internal renewable water resources per capita,4158,1982,58289
Central African Republic,37,Surface water: entering the country (total),4159,1982,0
Central African Republic,37,Surface water: inflow not submitted to treaties,4160,1982,0
Central African Republic,37,Surface water: inflow submitted to treaties,4161,1982,0
Chad,39,Surface water produced internally,4155,1982,13.5
Chad,39,Groundwater produced internally,4154,1982,11.5
Chad,39,Overlap between surface water and groundwater,4156,1982,10
Chad,39,Total internal renewable water resources (IRWR),4157,1982,15
Chad,39,Total internal renewable water resources per capita,4158,1982,3181
Chad,39,Surface water: entering the country (total),4159,1982,30.7
Chad,39,Surface water: inflow not submitted to treaties,4160,1982,30.7
Chad,39,Surface water: inflow submitted to treaties,4161,1982,0
Chile,40,Surface water produced internally,4155,1982,885
Chile,40,Groundwater produced internally,4154,1982,140
Chile,40,Overlap between surface water and groundwater,4156,1982,140
Chile,40,Total internal renewable water resources (IRWR),4157,1982,885
Chile,40,Total internal renewable water resources per capita,4158,1982,76188
Chile,40,Surface water: entering the country (total),4159,1982,38.06
Chile,40,Surface water: inflow not submitted to treaties,4160,1982,38.06
Chile,40,Surface water: inflow submitted to treaties,4161,1982,0
China,351,Surface water produced internally,4155,1982,2712
China,351,Groundwater produced internally,4154,1982,828.8
China,351,Overlap between surface water and groundwater,4156,1982,727.9
China,351,Total internal renewable water resources (IRWR),4157,1982,2813
China,351,Total internal renewable water resources per capita,4158,1982,2690
China,351,Surface water: entering the country (total),4159,1982,17.17
China,351,Surface water: inflow not submitted to treaties,4160,1982,17.17
China,351,Surface water: inflow submitted to treaties,4161,1982,0
Colombia,44,Surface water produced internally,4155,1982,2145
Colombia,44,Groundwater produced internally,4154,1982,510
Colombia,44,Overlap between surface water and groundwater,4156,1982,510
Colombia,44,Total internal renewable water resources (IRWR),4157,1982,2145
Colombia,44,Total internal renewable water resources per capita,4158,1982,73897
Colombia,44,Surface water: entering the country (total),4159,1982,215
Colombia,44,Surface water: inflow not submitted to treaties,4160,1982,215
Colombia,44,Surface water: inflow submitted to treaties,4161,1982,0
Comoros,45,Surface water produced internally,4155,1982,0.2
Comoros,45,Groundwater produced internally,4154,1982,1
Comoros,45,Overlap between surface water and groundwater,4156,1982,0
Comoros,45,Total internal renewable water resources (IRWR),4157,1982,1.2
Comoros,45,Total internal renewable water resources per capita,4158,1982,3671
Comoros,45,Surface water: entering the country (total),4159,1982,0
Comoros,45,Surface water: inflow not submitted to treaties,4160,1982,0
Comoros,45,Surface water: inflow submitted to treaties,4161,1982,0
Congo,46,Surface water produced internally,4155,1982,222
Congo,46,Groundwater produced internally,4154,1982,122
Congo,46,Overlap between surface water and groundwater,4156,1982,122
Congo,46,Total internal renewable water resources (IRWR),4157,1982,222
Congo,46,Total internal renewable water resources per capita,4158,1982,113788
Congo,46,Surface water: entering the country (total),4159,1982,52
Congo,46,Surface water: inflow not submitted to treaties,4160,1982,52
Congo,46,Surface water: inflow submitted to treaties,4161,1982,0
Cook Islands,47,Surface water: entering the country (total),4159,1982,0
Cook Islands,47,Surface water: inflow not submitted to treaties,4160,1982,0
Cook Islands,47,Surface water: inflow submitted to treaties,4161,1982,0
Costa Rica,48,Surface water produced internally,4155,1982,113
Costa Rica,48,Groundwater produced internally,4154,1982,37.31
Costa Rica,48,Overlap between surface water and groundwater,4156,1982,37.31
Costa Rica,48,Total internal renewable water resources (IRWR),4157,1982,113
Costa Rica,48,Total internal renewable water resources per capita,4158,1982,44823
Costa Rica,48,Surface water: entering the country (total),4159,1982,0
Costa Rica,48,Surface water: inflow not submitted to treaties,4160,1982,0
Costa Rica,48,Surface water: inflow submitted to treaties,4161,1982,0
Côte d'Ivoire,107,Surface water produced internally,4155,1982,74
Côte d'Ivoire,107,Groundwater produced internally,4154,1982,37.84
Côte d'Ivoire,107,Overlap between surface water and groundwater,4156,1982,35
Côte d'Ivoire,107,Total internal renewable water resources (IRWR),4157,1982,76.84
Côte d'Ivoire,107,Total internal renewable water resources per capita,4158,1982,8496
Côte d'Ivoire,107,Surface water: entering the country (total),4159,1982,4.3
Côte d'Ivoire,107,Surface water: inflow not submitted to treaties,4160,1982,4.3
Côte d'Ivoire,107,Surface water: inflow submitted to treaties,4161,1982,0
Cuba,49,Surface water produced internally,4155,1982,31.64
Cuba,49,Groundwater produced internally,4154,1982,6.48
Cuba,49,Overlap between surface water and groundwater,4156,1982,0
Cuba,49,Total internal renewable water resources (IRWR),4157,1982,38.12
Cuba,49,Total internal renewable water resources per capita,4158,1982,3840
