Area,Area Id,Variable Name,Variable Id,Year,Value
India,100,Not treated municipal wastewater,4491,1979,1.975
India,100,Not treated municipal wastewater discharged (secondary water),4517,1979,1.975
Israel,105,Not treated municipal wastewater,4491,1982,0.114
Israel,105,Treated municipal wastewater discharged (secondary water),4510,1982,0.08
Israel,105,Direct use of treated municipal wastewater,4265,1982,0.057
Kuwait,118,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1980,1.7
Netherlands,150,Not treated municipal wastewater,4491,1980,0.19
Senegal,195,Capacity of the municipal wastewater treatment facilities,4516,1982,4.00E-04
Egypt,59,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1986,42
India,100,Direct use of not treated municipal wastewater for irrigation purposes,4512,1985,1.23
Israel,105,Not treated municipal wastewater,4491,1987,0.059
Israel,105,Treated municipal wastewater discharged (secondary water),4510,1987,0.032
Israel,105,Direct use of treated municipal wastewater,4265,1987,0.18
Netherlands,150,Not treated municipal wastewater,4491,1985,0.095
Qatar,179,Direct use of treated municipal wastewater,4265,1985,0.022
United States of America,231,Capacity of the municipal wastewater treatment facilities,4516,1986,50.7
Argentina,9,Direct use of treated municipal wastewater,4265,1992,0
Bahrain,13,Treated municipal wastewater discharged (secondary water),4510,1991,0.0369
Bahrain,13,Direct use of treated municipal wastewater,4265,1991,0.008
Bolivia (Plurinational State of),19,Not treated municipal wastewater,4491,1992,0.1022
China,351,Capacity of the municipal wastewater treatment facilities,4516,1992,1.34
China,351,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1991,1330
China,351,Area equipped for irrigation by direct use of not treated municipal wastewater,4534,1989,1300
India,100,Not treated municipal wastewater,4491,1990,3.983
India,100,Not treated municipal wastewater discharged (secondary water),4517,1990,3.983
India,100,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1988,1.32
India,100,Area equipped for irrigation by direct use of not treated municipal wastewater,4534,1988,7.5
Israel,105,Not treated municipal wastewater,4491,1989,0.059
Israel,105,Treated municipal wastewater discharged (secondary water),4510,1989,0.04
Israel,105,Direct use of treated municipal wastewater,4265,1989,0.194
Jordan,112,Direct use of treated municipal wastewater,4265,1990,0.047
Jordan,112,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1991,3.7
Lebanon,121,Not treated municipal wastewater,4491,1991,0.161
Lebanon,121,Treated municipal wastewater discharged (secondary water),4510,1991,0.002
Lebanon,121,Direct use of treated municipal wastewater,4265,1991,0.002
Malta,134,Area equipped for irrigation by direct use of treated municipal wastewater,4533,1990,0.28
Mexico,138,Area equipped for irrigation by direct use of not treated municipal wastewater,4534,1989,85
Morocco,143,Area equipped for irrigation by direct use of not treated municipal wastewater,4534,1991,7
Netherlands,150,Not treated municipal wastewater,4491,1991,0.068
Oman,221,Direct use of treated municipal wastewater,4265,1991,0.026
