Area,Area Id,Variable Name,Variable Id,Year,Value
Algeria,4,Irrigation potential,4307,1982,1300
Angola,7,Irrigation potential,4307,1982,3700
Argentina,9,Irrigation potential,4307,1982,16000
Australia,10,Area equipped for full control irrigation: localized irrigation,4310,1981,20.05
Bahrain,13,Irrigation potential,4307,1982,4.23
Bangladesh,16,Irrigation potential,4307,1982,6933
Bangladesh,16,Area equipped for full control irrigation: total,4311,1982,1520
Bangladesh,16,Area equipped for irrigation: total,4313,1982,1520
Bangladesh,16,% of the cultivated area equipped for irrigation,4331,1982,16.21
Bangladesh,16,% of irrigation potential equipped for irrigation,4330,1982,21.92
Bangladesh,16,Total agricultural water managed area,4317,1982,1520
Bangladesh,16,% of agricultural water managed area equipped for irrigation,4319,1982,100
Benin,53,Irrigation potential,4307,1982,322
Benin,53,Area equipped for full control irrigation: total,4311,1980,9.665
Benin,53,Area equipped for irrigation: total,4313,1980,9.665
Benin,53,% of the cultivated area equipped for irrigation,4331,1980,0.5893
Benin,53,% of irrigation potential equipped for irrigation,4330,1980,3.002
Benin,53,Total agricultural water managed area,4317,1980,9.665
Benin,53,% of agricultural water managed area equipped for irrigation,4319,1980,100
Bolivia (Plurinational State of),19,Irrigation potential,4307,1982,4500
Botswana,20,Irrigation potential,4307,1982,13
Brazil,21,Irrigation potential,4307,1982,29350
Burkina Faso,233,Irrigation potential,4307,1982,165
Burundi,29,Irrigation potential,4307,1982,215
Cabo Verde,35,Area equipped for full control irrigation: total,4311,1980,2.25
Cabo Verde,35,Area equipped for full control irrigation: actually irrigated,4461,1980,1.79
Cabo Verde,35,% of area equipped for full control irrigation actually irrigated,4463,1980,79.56
Cabo Verde,35,Area equipped for irrigation: total,4313,1980,2.25
Cabo Verde,35,Area equipped for irrigation: actually irrigated,4318,1980,1.79
Cabo Verde,35,% of the area equipped for irrigation actually irrigated,4328,1980,79.56
Cabo Verde,35,% of the cultivated area equipped for irrigation,4331,1980,5.625
Cabo Verde,35,Total agricultural water managed area,4317,1980,2.25
Cabo Verde,35,% of agricultural water managed area equipped for irrigation,4319,1980,100
Cameroon,32,Irrigation potential,4307,1982,290
Canada,33,Area equipped for full control irrigation: localized irrigation,4310,1981,4.985
Central African Republic,37,Irrigation potential,4307,1982,1900
Chad,39,Irrigation potential,4307,1982,335
Chile,40,Irrigation potential,4307,1982,2500
China,351,Irrigation potential,4307,1982,70000
China,351,Area equipped for full control irrigation: surface irrigation,4308,1982,48930
China,351,Area equipped for full control irrigation: sprinkler irrigation,4309,1982,599
China,351,Area equipped for full control irrigation: total,4311,1982,49529
China,351,Area equipped for full control irrigation: actually irrigated,4461,1982,40597
China,351,% of area equipped for full control irrigation actually irrigated,4463,1982,81.97
China,351,Area equipped for irrigation: total,4313,1982,49529
China,351,Area equipped for irrigation: actually irrigated,4318,1982,40966
China,351,% of the area equipped for irrigation actually irrigated,4328,1982,82.71
China,351,% of the cultivated area equipped for irrigation,4331,1982,46.77
China,351,% of irrigation potential equipped for irrigation,4330,1982,70.76
China,351,Total agricultural water managed area,4317,1982,49529
China,351,% of agricultural water managed area equipped for irrigation,4319,1982,100
Colombia,44,Irrigation potential,4307,1982,7600
Comoros,45,Irrigation potential,4307,1982,0.3
Congo,46,Irrigation potential,4307,1982,340
Costa Rica,48,Irrigation potential,4307,1982,430
Costa Rica,48,Area equipped for full control irrigation: localized irrigation,4310,1981,0.025
Côte d'Ivoire,107,Irrigation potential,4307,1982,475
Cuba,49,Irrigation potential,4307,1982,2700
Democratic People's Republic of Korea,116,Area equipped for full control irrigation: total,4311,1980,1120
Democratic People's Republic of Korea,116,Area equipped for irrigation: total,4313,1980,1120
Democratic People's Republic of Korea,116,% of the cultivated area equipped for irrigation,4331,1980,45.44
