Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Environmental Flow Requirements,4549,1982,28.29
Albania,3,Environmental Flow Requirements,4549,1982,13.56
Algeria,4,Agricultural water withdrawal,4250,1980,2.22
Algeria,4,Industrial water withdrawal,4252,1980,0.12
Algeria,4,Municipal water withdrawal,4251,1980,0.66
Algeria,4,Total water withdrawal,4253,1980,3
Algeria,4,Agricultural water withdrawal as % of total water withdrawal,4254,1980,74
Algeria,4,Industrial water withdrawal as % of total water withdrawal,4256,1980,4
Algeria,4,Municipal water withdrawal as % of total withdrawal,4255,1980,22
Algeria,4,Total water withdrawal per capita,4257,1980,145.8
Algeria,4,Environmental Flow Requirements,4549,1982,4.56
Angola,7,Environmental Flow Requirements,4549,1982,110.7
Argentina,9,Environmental Flow Requirements,4549,1982,515.8
Australia,10,Environmental Flow Requirements,4549,1982,243.3
Austria,11,Agricultural water withdrawal,4250,1980,0.09
Austria,11,Industrial water withdrawal,4252,1980,2.694
Austria,11,Municipal water withdrawal,4251,1980,0.5582
Austria,11,Total water withdrawal,4253,1980,3.342
Austria,11,Irrigation water withdrawal,4475,1980,0.05
Austria,11,Agricultural water withdrawal as % of total water withdrawal,4254,1980,2.693
Austria,11,Industrial water withdrawal as % of total water withdrawal,4256,1980,80.61
Austria,11,Municipal water withdrawal as % of total withdrawal,4255,1980,16.7
Austria,11,Total water withdrawal per capita,4257,1980,439.6
Austria,11,Environmental Flow Requirements,4549,1982,41.51
Bangladesh,16,Environmental Flow Requirements,4549,1982,600.3
Belgium,255,Agricultural water withdrawal,4250,1980,0.3612
Belgium,255,Industrial water withdrawal,4252,1980,7.676
Belgium,255,Municipal water withdrawal,4251,1980,0.9933
Belgium,255,Total water withdrawal,4253,1980,9.03
Belgium,255,Agricultural water withdrawal as % of total water withdrawal,4254,1980,4
Belgium,255,Industrial water withdrawal as % of total water withdrawal,4256,1980,85.01
Belgium,255,Municipal water withdrawal as % of total withdrawal,4255,1980,11
Belgium,255,Total water withdrawal per capita,4257,1980,919.5
Belgium,255,Environmental Flow Requirements,4549,1982,10.16
Belize,23,Environmental Flow Requirements,4549,1982,13.72
Benin,53,Environmental Flow Requirements,4549,1982,13.06
Bhutan,18,Environmental Flow Requirements,4549,1982,54.1
Bolivia (Plurinational State of),19,Environmental Flow Requirements,4549,1982,396.6
Botswana,20,Environmental Flow Requirements,4549,1982,2.677
Brazil,21,Environmental Flow Requirements,4549,1982,6532
Brunei Darussalam,26,Environmental Flow Requirements,4549,1982,5.846
Bulgaria,27,Total water withdrawal,4253,1980,14.18
Bulgaria,27,Total water withdrawal per capita,4257,1980,1588
Bulgaria,27,Environmental Flow Requirements,4549,1982,7.771
Burkina Faso,233,Environmental Flow Requirements,4549,1982,3.04
Burundi,29,Environmental Flow Requirements,4549,1982,9.788
Cambodia,115,Environmental Flow Requirements,4549,1982,265.4
Cameroon,32,Environmental Flow Requirements,4549,1982,213.4
Canada,33,Environmental Flow Requirements,4549,1982,1931
Central African Republic,37,Environmental Flow Requirements,4549,1982,119.4
Chad,39,Environmental Flow Requirements,4549,1982,25.22
Chile,40,Environmental Flow Requirements,4549,1982,529.3
China,351,Agricultural water withdrawal,4250,1980,391.2
China,351,Industrial water withdrawal,4252,1980,45.73
China,351,Municipal water withdrawal,4251,1980,6.769
China,351,Total water withdrawal,4253,1980,443.7
China,351,Agricultural water withdrawal as % of total water withdrawal,4254,1980,88.17
China,351,Industrial water withdrawal as % of total water withdrawal,4256,1980,10.31
China,351,Municipal water withdrawal as % of total withdrawal,4255,1980,1.526
China,351,Total water withdrawal per capita,4257,1980,424.2
China,351,Environmental Flow Requirements,4549,1982,1471
Colombia,44,Environmental Flow Requirements,4549,1982,1692
Congo,46,Environmental Flow Requirements,4549,1982,664.4
Costa Rica,48,Environmental Flow Requirements,4549,1982,54.4
Côte d'Ivoire,107,Environmental Flow Requirements,4549,1982,61.3
Croatia,98,Environmental Flow Requirements,4549,1982,
Cuba,49,Environmental Flow Requirements,4549,1982,9.055
Cyprus,50,Agricultural water withdrawal,4250,1980,0.14
Cyprus,50,Industrial water withdrawal,4252,1980,0
Cyprus,50,Municipal water withdrawal,4251,1980,0.037
Cyprus,50,Total water withdrawal,4253,1980,0.177
Cyprus,50,Agricultural water withdrawal as % of total water withdrawal,4254,1980,79.1
Cyprus,50,Industrial water withdrawal as % of total water withdrawal,4256,1980,0
Cyprus,50,Municipal water withdrawal as % of total withdrawal,4255,1980,20.9
Cyprus,50,Total water withdrawal per capita,4257,1980,255.9
Cyprus,50,Environmental Flow Requirements,4549,1982,0.0484
Democratic People's Republic of Korea,116,Environmental Flow Requirements,4549,1982,45.94
Democratic Republic of the Congo,250,Environmental Flow Requirements,4549,1982,981.7
Denmark,54,Agricultural water withdrawal,4250,1980,0.46
Denmark,54,Industrial water withdrawal,4252,1980,0.045
Denmark,54,Municipal water withdrawal,4251,1980,0.7
Denmark,54,Total water withdrawal,4253,1980,1.205
Denmark,54,Irrigation water withdrawal,4475,1980,0.09
Denmark,54,Agricultural water withdrawal as % of total water withdrawal,4254,1980,38.17
Denmark,54,Industrial water withdrawal as % of total water withdrawal,4256,1980,3.734
Denmark,54,Municipal water withdrawal as % of total withdrawal,4255,1980,58.09
Denmark,54,Total water withdrawal per capita,4257,1980,235.2
Denmark,54,Environmental Flow Requirements,4549,1982,2.302
Dominican Republic,56,Environmental Flow Requirements,4549,1982,5.456
Ecuador,58,Environmental Flow Requirements,4549,1982,296.2
Egypt,59,Environmental Flow Requirements,4549,1982,2.6
El Salvador,60,Environmental Flow Requirements,4549,1982,10.24
Equatorial Guinea,61,Environmental Flow Requirements,4549,1982,15.21
Eswatini,209,Agricultural water withdrawal,4250,1980,0.63
Eswatini,209,Industrial water withdrawal,4252,1980,0.016
Eswatini,209,Municipal water withdrawal,4251,1980,0.011
Eswatini,209,Total water withdrawal,4253,1980,0.657
Eswatini,209,Agricultural water withdrawal as % of total water withdrawal,4254,1980,95.89
Eswatini,209,Industrial water withdrawal as % of total water withdrawal,4256,1980,2.435
Eswatini,209,Municipal water withdrawal as % of total withdrawal,4255,1980,1.674
Eswatini,209,Total water withdrawal per capita,4257,1980,1028
Eswatini,209,Environmental Flow Requirements,4549,1982,3.133
Finland,67,Total water withdrawal,4253,1980,3.7
Finland,67,Total water withdrawal per capita,4257,1980,765.3
Finland,67,Environmental Flow Requirements,4549,1982,67.83
France,68,Total water withdrawal,4253,1980,30.97
France,68,Total water withdrawal per capita,4257,1980,567.8
France,68,Environmental Flow Requirements,4549,1982,96.77
Gabon,74,Environmental Flow Requirements,4549,1982,138.3
Gambia,75,Agricultural water withdrawal,4250,1982,0.0182
Gambia,75,Industrial water withdrawal,4252,1982,4.00E-04
Gambia,75,Municipal water withdrawal,4251,1982,0.0014
Gambia,75,Total water withdrawal,4253,1982,0.02
Gambia,75,Agricultural water withdrawal as % of total water withdrawal,4254,1982,91
Gambia,75,Industrial water withdrawal as % of total water withdrawal,4256,1982,2
Gambia,75,Municipal water withdrawal as % of total withdrawal,4255,1982,7
Gambia,75,Total water withdrawal per capita,4257,1982,30.85
Gambia,75,Environmental Flow Requirements,4549,1982,3.402
Germany,79,Environmental Flow Requirements,4549,1982,81.04
Ghana,81,Environmental Flow Requirements,4549,1982,33.26
Greece,84,Total water withdrawal,4253,1980,5.04
Greece,84,Total water withdrawal per capita,4257,1980,514.1
Greece,84,Environmental Flow Requirements,4549,1982,18.97
Guatemala,89,Environmental Flow Requirements,4549,1982,70.02
Guinea,90,Environmental Flow Requirements,4549,1982,161
Guinea-Bissau,175,Environmental Flow Requirements,4549,1982,19.7
Guyana,91,Environmental Flow Requirements,4549,1982,227.2
Haiti,93,Environmental Flow Requirements,4549,1982,3.188
Honduras,95,Environmental Flow Requirements,4549,1982,57.39
Hungary,97,Total water withdrawal,4253,1980,4.805
Hungary,97,Total water withdrawal per capita,4257,1980,448.4
Hungary,97,Environmental Flow Requirements,4549,1982,46.1
Iceland,99,Agricultural water withdrawal,4250,1980,0.004
Iceland,99,Industrial water withdrawal,4252,1980,0.01
Iceland,99,Municipal water withdrawal,4251,1980,0.094
Iceland,99,Total water withdrawal,4253,1980,0.108
Iceland,99,Agricultural water withdrawal as % of total water withdrawal,4254,1980,3.704
Iceland,99,Industrial water withdrawal as % of total water withdrawal,4256,1980,9.259
Iceland,99,Municipal water withdrawal as % of total withdrawal,4255,1980,87.04
Iceland,99,Total water withdrawal per capita,4257,1980,462.9
Iceland,99,Environmental Flow Requirements,4549,1982,96.41
India,100,Agricultural water withdrawal,4250,1980,411.7
India,100,Industrial water withdrawal,4252,1980,12.6
India,100,Municipal water withdrawal,4251,1980,14.05
India,100,Total water withdrawal,4253,1980,438.3
India,100,Agricultural water withdrawal as % of total water withdrawal,4254,1980,93.93
India,100,Industrial water withdrawal as % of total water withdrawal,4256,1980,2.875
India,100,Municipal water withdrawal as % of total withdrawal,4255,1980,3.206
India,100,Total water withdrawal per capita,4257,1980,600.5
India,100,Environmental Flow Requirements,4549,1982,937.1
Indonesia,101,Environmental Flow Requirements,4549,1982,1269
Iran (Islamic Republic of),102,Environmental Flow Requirements,4549,1982,22.7
Iraq,103,Agricultural water withdrawal,4250,1980,39.77
Iraq,103,Industrial water withdrawal,4252,1980,0.31
Iraq,103,Municipal water withdrawal,4251,1980,0.715
Iraq,103,Total water withdrawal,4253,1980,40.8
Iraq,103,Agricultural water withdrawal as % of total water withdrawal,4254,1980,97.48
Iraq,103,Industrial water withdrawal as % of total water withdrawal,4256,1980,0.7598
Iraq,103,Municipal water withdrawal as % of total withdrawal,4255,1980,1.752
Iraq,103,Total water withdrawal per capita,4257,1980,2826
Iraq,103,Environmental Flow Requirements,4549,1982,18.66
Ireland,104,Agricultural water withdrawal,4250,1980,0.13
Ireland,104,Industrial water withdrawal,4252,1980,0.527
Ireland,104,Municipal water withdrawal,4251,1980,0.413
Ireland,104,Total water withdrawal,4253,1980,1.07
Ireland,104,Agricultural water withdrawal as % of total water withdrawal,4254,1980,12.15
Ireland,104,Industrial water withdrawal as % of total water withdrawal,4256,1980,49.25
Ireland,104,Municipal water withdrawal as % of total withdrawal,4255,1980,38.6
Ireland,104,Total water withdrawal per capita,4257,1980,305.3
Ireland,104,Environmental Flow Requirements,4549,1982,31.22
Israel,105,Agricultural water withdrawal,4250,1980,1.235
Israel,105,Industrial water withdrawal,4252,1980,0.09
Israel,105,Municipal water withdrawal,4251,1980,0.375
Israel,105,Total water withdrawal,4253,1980,1.7
Israel,105,Agricultural water withdrawal as % of total water withdrawal,4254,1980,72.65
Israel,105,Industrial water withdrawal as % of total water withdrawal,4256,1980,5.294
Israel,105,Municipal water withdrawal as % of total withdrawal,4255,1980,22.06
Israel,105,Total water withdrawal per capita,4257,1980,437.8
Israel,105,Environmental Flow Requirements,4549,1982,0.6209
Italy,106,Industrial water withdrawal,4252,1980,15.17
Italy,106,Municipal water withdrawal,4251,1980,7.868
Italy,106,Environmental Flow Requirements,4549,1982,77.81
Japan,110,Agricultural water withdrawal,4250,1980,58
Japan,110,Industrial water withdrawal,4252,1980,16.5
Japan,110,Municipal water withdrawal,4251,1980,13.7
Japan,110,Total water withdrawal,4253,1980,88.2
Japan,110,Agricultural water withdrawal as % of total water withdrawal,4254,1980,65.76
Japan,110,Industrial water withdrawal as % of total water withdrawal,4256,1980,18.71
Japan,110,Municipal water withdrawal as % of total withdrawal,4255,1980,15.53
Japan,110,Total water withdrawal per capita,4257,1980,737.4
Japan,110,Environmental Flow Requirements,4549,1982,212.5
Jordan,112,Agricultural water withdrawal,4250,1980,0.377
Jordan,112,Industrial water withdrawal,4252,1980,0.025
Jordan,112,Municipal water withdrawal,4251,1980,0.133
Jordan,112,Total water withdrawal,4253,1980,0.535
Jordan,112,Agricultural water withdrawal as % of total water withdrawal,4254,1980,70.47
Jordan,112,Industrial water withdrawal as % of total water withdrawal,4256,1980,4.673
Jordan,112,Municipal water withdrawal as % of total withdrawal,4255,1980,24.86
Jordan,112,Total water withdrawal per capita,4257,1980,209
Jordan,112,Environmental Flow Requirements,4549,1982,0.0341
Kenya,114,Environmental Flow Requirements,4549,1982,18.57
Lao People's Democratic Republic,120,Environmental Flow Requirements,4549,1982,180.1
Lebanon,121,Environmental Flow Requirements,4549,1982,1.421
Lesotho,122,Environmental Flow Requirements,4549,1982,1.315
Liberia,123,Environmental Flow Requirements,4549,1982,176.8
Libya,124,Total water withdrawal,4253,1980,1.47
Libya,124,Total water withdrawal per capita,4257,1980,422.4
Luxembourg,256,Total water withdrawal,4253,1980,0.0397
Luxembourg,256,Total water withdrawal per capita,4257,1980,95.2
Luxembourg,256,Environmental Flow Requirements,4549,1982,2.294
Madagascar,129,Environmental Flow Requirements,4549,1982,217.5
