Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Groundwater: entering the country (total),4177,1982,0
Afghanistan,2,Groundwater: accounted inflow,4452,1982,0
Afghanistan,2,Water resources: total external renewable,4182,1982,18.18
Afghanistan,2,Total renewable surface water,4185,1982,55.68
Afghanistan,2,Total renewable groundwater,4187,1982,10.65
Afghanistan,2,Overlap: between surface water and groundwater,4536,1982,1
Afghanistan,2,Dependency ratio,4192,1982,28.72
Afghanistan,2,Total renewable water resources per capita,4190,1982,5124
Albania,3,Groundwater: entering the country (total),4177,1982,0
Albania,3,Groundwater: accounted inflow,4452,1982,0
Albania,3,Groundwater: leaving the country to other countries (total),4178,1982,0
Albania,3,Groundwater: accounted outflow to other countries,4453,1982,0
Albania,3,Water resources: total external renewable,4182,1982,3.3
Albania,3,Total renewable surface water,4185,1982,26.35
Albania,3,Total renewable groundwater,4187,1982,6.2
Albania,3,Overlap: between surface water and groundwater,4536,1982,2.35
Albania,3,Dependency ratio,4192,1982,10.93
Albania,3,Total renewable water resources per capita,4190,1982,10832
Algeria,4,Groundwater: entering the country (total),4177,1982,0.03
Algeria,4,Groundwater: accounted inflow,4452,1982,0.03
Algeria,4,Groundwater: leaving the country to other countries (total),4178,1982,0.1
Algeria,4,Groundwater: accounted outflow to other countries,4453,1982,0.1
Algeria,4,Water resources: total external renewable,4182,1982,0.42
Algeria,4,Total renewable surface water,4185,1982,10.15
Algeria,4,Total renewable groundwater,4187,1982,1.517
Algeria,4,Overlap: between surface water and groundwater,4536,1982,0
Algeria,4,Dependency ratio,4192,1982,3.599
Algeria,4,Total renewable water resources per capita,4190,1982,567.2
Andorra,6,Total renewable water resources per capita,4190,1982,8070
Angola,7,Groundwater: entering the country (total),4177,1982,0
Angola,7,Groundwater: accounted inflow,4452,1982,0
Angola,7,Groundwater: leaving the country to other countries (total),4178,1982,0
Angola,7,Groundwater: accounted outflow to other countries,4453,1982,0
Angola,7,Water resources: total external renewable,4182,1982,0.4
Angola,7,Total renewable surface water,4185,1982,145.4
Angola,7,Total renewable groundwater,4187,1982,58
Angola,7,Overlap: between surface water and groundwater,4536,1982,55
Angola,7,Dependency ratio,4192,1982,0.2695
Angola,7,Total renewable water resources per capita,4190,1982,15487
Antigua and Barbuda,8,Groundwater: entering the country (total),4177,1982,0
Antigua and Barbuda,8,Groundwater: accounted inflow,4452,1982,0
Antigua and Barbuda,8,Groundwater: leaving the country to other countries (total),4178,1982,0
Antigua and Barbuda,8,Groundwater: accounted outflow to other countries,4453,1982,0
Antigua and Barbuda,8,Water resources: total external renewable,4182,1982,0
Antigua and Barbuda,8,Dependency ratio,4192,1982,0
Antigua and Barbuda,8,Total renewable water resources per capita,4190,1982,717.7
Argentina,9,Groundwater: entering the country (total),4177,1982,0
Argentina,9,Groundwater: accounted inflow,4452,1982,0
Argentina,9,Groundwater: leaving the country to other countries (total),4178,1982,0
Argentina,9,Groundwater: accounted outflow to other countries,4453,1982,0
Argentina,9,Water resources: total external renewable,4182,1982,584.2
Argentina,9,Total renewable surface water,4185,1982,860.2
Argentina,9,Total renewable groundwater,4187,1982,128
Argentina,9,Overlap: between surface water and groundwater,4536,1982,112
Argentina,9,Dependency ratio,4192,1982,66.67
Argentina,9,Total renewable water resources per capita,4190,1982,30220
Australia,10,Groundwater: entering the country (total),4177,1982,0
Australia,10,Groundwater: accounted inflow,4452,1982,0
Australia,10,Groundwater: leaving the country to other countries (total),4178,1982,0
Australia,10,Groundwater: accounted outflow to other countries,4453,1982,0
Australia,10,Water resources: total external renewable,4182,1982,0
Australia,10,Total renewable surface water,4185,1982,440
Australia,10,Total renewable groundwater,4187,1982,72
Australia,10,Overlap: between surface water and groundwater,4536,1982,20
Australia,10,Dependency ratio,4192,1982,0
Australia,10,Total renewable water resources per capita,4190,1982,32711
Austria,11,Groundwater: entering the country (total),4177,1982,0
Austria,11,Groundwater: accounted inflow,4452,1982,0
Austria,11,Groundwater: leaving the country to other countries (total),4178,1982,0
Austria,11,Groundwater: accounted outflow to other countries,4453,1982,0
Austria,11,Water resources: total external renewable,4182,1982,22.7
Austria,11,Total renewable surface water,4185,1982,77.7
