Area,Area Id,Variable Name,Variable Id,Year,Value
China,351,Area equipped for power irrigation (surface water or groundwater),4326,1982,26555
China,351,% of area equipped for irrigation power irrigated,4327,1982,53.62
India,100,Area equipped for irrigation by surface water,4321,1981,21100
India,100,Area equipped for irrigation by groundwater,4320,1981,17700
India,100,% of area equipped for irrigation by surface water,4324,1982,49.8
India,100,% of area equipped for irrigation by groundwater,4323,1982,41.77
Kuwait,118,Area equipped for irrigation by direct use of treated municipal wastewater,4465,1980,1.7
Sao Tome and Principe,193,Area equipped for irrigation by surface water,4321,1980,9.7
Sao Tome and Principe,193,% of area equipped for irrigation by surface water,4324,1981,100
Sao Tome and Principe,193,% of area equipped for irrigation by groundwater,4323,1981,0
Sao Tome and Principe,193,% of area equipped for irrigation by mixed surface water and groundwater,4325,1981,0
Algeria,4,Area equipped for irrigation by surface water,4321,1985,48
Algeria,4,Area equipped for irrigation by groundwater,4320,1985,180
Bangladesh,16,Area equipped for irrigation by surface water,4321,1987,1217
Bangladesh,16,Area equipped for irrigation by groundwater,4320,1987,981.7
Bangladesh,16,% of area equipped for irrigation by surface water,4324,1987,55.34
Bangladesh,16,% of area equipped for irrigation by groundwater,4323,1987,44.64
Central African Republic,37,Area equipped for irrigation by surface water,4321,1987,0.135
Central African Republic,37,% of area equipped for irrigation by surface water,4324,1987,100
China,351,Area equipped for irrigation by surface water,4321,1985,38541
China,351,Area equipped for irrigation by groundwater,4320,1985,8894
China,351,% of area equipped for irrigation by surface water,4324,1985,78
China,351,% of area equipped for irrigation by groundwater,4323,1985,18
China,351,Area equipped for power irrigation (surface water or groundwater),4326,1983,26540
China,351,% of area equipped for irrigation power irrigated,4327,1985,53.71
Comoros,45,Area equipped for irrigation by surface water,4321,1987,0.125
Comoros,45,Area equipped for irrigation by groundwater,4320,1987,0.005
Comoros,45,% of area equipped for irrigation by surface water,4324,1987,96.15
Comoros,45,% of area equipped for irrigation by groundwater,4323,1987,3.846
Cyprus,50,Area equipped for power irrigation (surface water or groundwater),4326,1985,27.84
Cyprus,50,% of area equipped for irrigation power irrigated,4327,1985,90.01
Egypt,59,Area equipped for irrigation by direct use of treated municipal wastewater,4465,1986,42
Gabon,74,Area equipped for irrigation by surface water,4321,1987,4.45
Gabon,74,% of area equipped for irrigation by surface water,4324,1987,100
India,100,Area equipped for irrigation by surface water,4321,1986,21400
India,100,Area equipped for irrigation by groundwater,4320,1986,20600
India,100,% of area equipped for irrigation by surface water,4324,1987,45.92
India,100,% of area equipped for irrigation by groundwater,4323,1987,44.2
Liberia,123,Area equipped for irrigation by surface water,4321,1987,2.09
Liberia,123,Area equipped for irrigation by groundwater,4320,1987,0.0105
Liberia,123,% of area equipped for irrigation by surface water,4324,1987,99.52
Liberia,123,% of area equipped for irrigation by groundwater,4323,1987,0.5
Malaysia,131,Area equipped for power irrigation (surface water or groundwater),4326,1987,33.66
Malaysia,131,% of area equipped for irrigation power irrigated,4327,1987,9.776
United States of America,231,Area equipped for irrigation by groundwater,4320,1984,9828
United States of America,231,% of area equipped for irrigation by groundwater,4323,1987,36.85
Albania,3,Area equipped for irrigation by surface water,4321,1992,396
Albania,3,Area equipped for irrigation by groundwater,4320,1990,1
Albania,3,% of area equipped for irrigation by surface water,4324,1992,99.75
Albania,3,% of area equipped for irrigation by groundwater,4323,1992,0.2519
Albania,3,Area equipped for power irrigation (surface water or groundwater),4326,1990,0.079
Albania,3,% of area equipped for irrigation power irrigated,4327,1992,0.0199
Bangladesh,16,Area equipped for irrigation by surface water,4321,1991,1280
Bangladesh,16,Area equipped for irrigation by groundwater,4320,1992,1805
Bangladesh,16,% of area equipped for irrigation by surface water,4324,1992,41.29
Bangladesh,16,% of area equipped for irrigation by groundwater,4323,1992,58.23
Barbados,14,Area equipped for irrigation by groundwater,4320,1989,4.892
Barbados,14,% of area equipped for irrigation by groundwater,4323,1989,90.01
Botswana,20,Area equipped for irrigation by surface water,4321,1992,0.715
Botswana,20,Area equipped for irrigation by groundwater,4320,1992,0.612
Botswana,20,Area equipped for irrigation by mixed surface water and groundwater,4322,1992,0.054
Botswana,20,% of area equipped for irrigation by surface water,4324,1992,51.77
Botswana,20,% of area equipped for irrigation by groundwater,4323,1992,44.32
Botswana,20,% of area equipped for irrigation by mixed surface water and groundwater,4325,1992,3.91
Botswana,20,Area equipped for power irrigation (surface water or groundwater),4326,1992,1.119
Botswana,20,% of area equipped for irrigation power irrigated,4327,1992,81.03
Burkina Faso,233,Area equipped for power irrigation (surface water or groundwater),4326,1992,5.37
