Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Gross Domestic Product (GDP),4112,1981,3.48E+09
Afghanistan,2,Long-term average annual precipitation in volume,4150,1982,213.5
Afghanistan,2,National Rainfall Index (NRI),4472,1980,322.3
Albania,3,"Agriculture, value added (% GDP)",4113,1982,31.7
Albania,3,Long-term average annual precipitation in volume,4150,1982,42.69
Albania,3,National Rainfall Index (NRI),4472,1978,1326
Algeria,4,Gross Domestic Product (GDP),4112,1982,4.52E+10
Algeria,4,"Agriculture, value added (% GDP)",4113,1982,8.39
Algeria,4,Long-term average annual precipitation in volume,4150,1982,212
Algeria,4,National Rainfall Index (NRI),4472,1980,325.7
Andorra,6,Gross Domestic Product (GDP),4112,1982,3.76E+08
Andorra,6,Long-term average annual precipitation in volume,4150,1982,0.4724
Angola,7,Long-term average annual precipitation in volume,4150,1982,1259
Angola,7,National Rainfall Index (NRI),4472,1982,1024
Antigua and Barbuda,8,Gross Domestic Product (GDP),4112,1982,1.38E+08
Antigua and Barbuda,8,"Agriculture, value added (% GDP)",4113,1982,6.212
Antigua and Barbuda,8,Long-term average annual precipitation in volume,4150,1982,0.4532
Argentina,9,Gross Domestic Product (GDP),4112,1982,8.43E+10
Argentina,9,"Agriculture, value added (% GDP)",4113,1982,9.596
Argentina,9,Long-term average annual precipitation in volume,4150,1982,1643
Argentina,9,National Rainfall Index (NRI),4472,1978,891
Australia,10,Gross Domestic Product (GDP),4112,1982,1.94E+11
Australia,10,"Agriculture, value added (% GDP)",4113,1982,6.101
Australia,10,Long-term average annual precipitation in volume,4150,1982,4134
Australia,10,National Rainfall Index (NRI),4472,1981,693.4
Austria,11,Gross Domestic Product (GDP),4112,1982,7.11E+10
Austria,11,"Agriculture, value added (% GDP)",4113,1982,4.117
Austria,11,Long-term average annual precipitation in volume,4150,1982,93.11
Austria,11,National Rainfall Index (NRI),4472,1980,1110
Bahamas,12,Gross Domestic Product (GDP),4112,1982,1.58E+09
Bahamas,12,Long-term average annual precipitation in volume,4150,1982,17.93
Bahamas,12,National Rainfall Index (NRI),4472,1978,1428
Bahrain,13,Gross Domestic Product (GDP),4112,1982,3.65E+09
Bahrain,13,"Agriculture, value added (% GDP)",4113,1982,1.058
Bahrain,13,Long-term average annual precipitation in volume,4150,1982,0.0573
Bangladesh,16,Gross Domestic Product (GDP),4112,1982,1.85E+10
Bangladesh,16,"Agriculture, value added (% GDP)",4113,1982,32.98
Bangladesh,16,Long-term average annual precipitation in volume,4150,1982,395.8
Bangladesh,16,National Rainfall Index (NRI),4472,1982,2300
Barbados,14,Gross Domestic Product (GDP),4112,1982,1.16E+09
Barbados,14,Long-term average annual precipitation in volume,4150,1982,0.6115
Belgium,255,Gross Domestic Product (GDP),4112,1982,9.26E+10
Belgium,255,Long-term average annual precipitation in volume,4150,1982,25.84
Belgium,255,National Rainfall Index (NRI),4472,1979,942.4
Belize,23,Gross Domestic Product (GDP),4112,1982,1.79E+08
Belize,23,"Agriculture, value added (% GDP)",4113,1982,22.51
Belize,23,Long-term average annual precipitation in volume,4150,1982,39.16
Belize,23,National Rainfall Index (NRI),4472,1980,2142
Benin,53,Gross Domestic Product (GDP),4112,1982,1.27E+09
Benin,53,"Agriculture, value added (% GDP)",4113,1982,32.5
Benin,53,Long-term average annual precipitation in volume,4150,1982,119.2
Benin,53,National Rainfall Index (NRI),4472,1980,1007
Bhutan,18,Gross Domestic Product (GDP),4112,1982,1.49E+08
Bhutan,18,"Agriculture, value added (% GDP)",4113,1982,42.18
Bhutan,18,Long-term average annual precipitation in volume,4150,1982,103.4
Bhutan,18,National Rainfall Index (NRI),4472,1981,2408
Bolivia (Plurinational State of),19,Gross Domestic Product (GDP),4112,1982,5.59E+09
Bolivia (Plurinational State of),19,"Agriculture, value added (% GDP)",4113,1982,17.63
Bolivia (Plurinational State of),19,Long-term average annual precipitation in volume,4150,1982,1259
Bolivia (Plurinational State of),19,National Rainfall Index (NRI),4472,1978,1796
Botswana,20,Gross Domestic Product (GDP),4112,1982,1.01E+09
Botswana,20,"Agriculture, value added (% GDP)",4113,1982,11.67
Botswana,20,Long-term average annual precipitation in volume,4150,1982,242
Botswana,20,National Rainfall Index (NRI),4472,1980,430.3
Brazil,21,Gross Domestic Product (GDP),4112,1982,2.82E+11
Brazil,21,"Agriculture, value added (% GDP)",4113,1982,8.968
Brazil,21,Long-term average annual precipitation in volume,4150,1982,14995
Brazil,21,National Rainfall Index (NRI),4472,1979,1986
Brunei Darussalam,26,Gross Domestic Product (GDP),4112,1982,4.26E+09
Brunei Darussalam,26,"Agriculture, value added (% GDP)",4113,1982,0.8438
Brunei Darussalam,26,Long-term average annual precipitation in volume,4150,1982,15.71
Brunei Darussalam,26,National Rainfall Index (NRI),4472,1980,3348
Bulgaria,27,Gross Domestic Product (GDP),4112,1982,1.98E+10
Bulgaria,27,"Agriculture, value added (% GDP)",4113,1982,17.17
Bulgaria,27,Long-term average annual precipitation in volume,4150,1982,67.48
Bulgaria,27,National Rainfall Index (NRI),4472,1980,674
Burkina Faso,233,Gross Domestic Product (GDP),4112,1982,1.75E+09
Burkina Faso,233,"Agriculture, value added (% GDP)",4113,1982,28.41
Burkina Faso,233,Long-term average annual precipitation in volume,4150,1982,205.1
Burkina Faso,233,National Rainfall Index (NRI),4472,1980,754
Burundi,29,Gross Domestic Product (GDP),4112,1982,1.01E+09
Burundi,29,"Agriculture, value added (% GDP)",4113,1982,56.86
Burundi,29,Long-term average annual precipitation in volume,4150,1982,35.46
Burundi,29,National Rainfall Index (NRI),4472,1978,1030
Cabo Verde,35,Gross Domestic Product (GDP),4112,1982,1.41E+08
Cabo Verde,35,"Agriculture, value added (% GDP)",4113,1982,12.58
Cabo Verde,35,Long-term average annual precipitation in volume,4150,1982,0.9188
Cambodia,115,Long-term average annual precipitation in volume,4150,1982,344.7
Cambodia,115,National Rainfall Index (NRI),4472,1978,2094
Cameroon,32,Gross Domestic Product (GDP),4112,1982,7.32E+09
Cameroon,32,"Agriculture, value added (% GDP)",4113,1982,28.66
